Id,Active,date,price
865b,false,2012-12-24,14.3975
27dd,false,2012-12-26,14.2330
c2c2,false,2012-12-27,14.1685
3a46,false,2012-12-28,14.2040
61a3,false,2012-12-31,14.1135
d14f,false,2013-01-02,13.9225
12b8,false,2013-01-03,13.8650
9acc,false,2013-01-04,13.6725
fe1e,false,2013-01-07,13.8850
6c1b,false,2013-01-08,13.8650
c523,false,2013-01-09,13.8550
154c,false,2013-01-10,13.7975
070e,false,2013-01-11,13.7325
3236,false,2013-01-14,14.1800
9c12,false,2013-01-15,14.1350
b72d,false,2013-01-16,14.3650
6986,false,2013-01-17,14.3025
14f5,false,2013-01-18,14.2925
8589,false,2013-01-22,14.5175
bdd3,false,2013-01-23,14.3700
8757,false,2013-01-24,14.3525
8049,false,2013-01-25,14.4100
1e81,false,2013-01-28,14.4775
1f95,false,2013-01-29,14.5175
d1d6,false,2013-01-30,14.7875
0846,false,2013-01-31,14.6850
ed6b,false,2013-02-01,14.7425
98d4,false,2013-02-04,14.8875
ac5f,false,2013-02-05,14.9550
30da,false,2013-02-06,14.8750
cfa9,false,2013-02-07,14.8675
7df2,false,2013-02-08,14.5250
3e65,false,2013-02-11,14.3150
c58f,false,2013-02-12,14.2075
8735,false,2013-02-13,14.2300
429a,false,2013-02-14,14.1800
4a82,false,2013-02-15,14.2450
7bd6,false,2013-02-19,14.7025
db4a,false,2013-02-20,14.8275
8d63,false,2013-02-21,14.8775
d81f,false,2013-02-22,14.6125
ecee,false,2013-02-25,14.4805
d687,false,2013-02-26,14.4135
b652,false,2013-02-27,14.4670
1b2e,false,2013-02-28,14.5665
a6b6,false,2013-03-01,14.4350
22c3,false,2013-03-04,14.6200
ead9,false,2013-03-05,14.6650
9ce6,false,2013-03-06,14.6600
d70f,false,2013-03-07,14.7350
195f,false,2013-03-08,14.7100
8ab2,false,2013-03-11,14.7950
f7b1,false,2013-03-12,14.6875
8e3b,false,2013-03-13,14.4700
63db,false,2013-03-14,14.3550
958a,false,2013-03-15,14.2600
0c4f,false,2013-03-18,14.0950
9cee,false,2013-03-19,14.0675
23b9,false,2013-03-20,14.1975
fe11,false,2013-03-21,14.4900
02e4,false,2013-03-22,14.4050
5aca,false,2013-03-25,14.3725
08a6,false,2013-03-26,14.4775
b4c5,false,2013-03-27,14.5375
69d1,false,2013-03-28,14.0475
ec5a,false,2013-04-01,13.9075
d5fa,false,2013-04-02,13.9400
309e,false,2013-04-03,13.8025
ec15,false,2013-04-04,13.7200
da8c,false,2013-04-05,13.6175
8999,false,2013-04-08,13.7800
f598,false,2013-04-09,13.9550
5f18,false,2013-04-10,13.9275
ac11,false,2013-04-11,14.0200
dd12,false,2013-04-12,14.1300
7a95,false,2013-04-15,13.9500
c5c7,false,2013-04-16,14.1150
f433,false,2013-04-17,14.2225
