Id;Active;date;fires %;SOY_EQUIVALENT_TONNES %;LAND_USE_HA %;TERRITORIAL_DEFORESTATION_RISK_HA %;DeepGreenIndex;Soy price %
fd5e;false;2013-01-01;-3.00711743772242E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.0;null
795d;false;2013-01-02;4.071246819338423E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.00631370459234;null
6a57;false;2013-01-03;4.4303797468354424E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.01307090173404;null
bf9c;false;2013-01-04;1.5413533834586458E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.01998272134517;null
328e;false;2013-01-05;-2.258414766558089E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.0266691164096;null
1cac;false;2013-01-06;3.492286115007013E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.03370530356354;null
e37a;false;2013-01-07;4.459459459459461E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.04118811329795;null
8f74;false;2013-01-08;1.0999281092739044E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.04878152911417;null
a591;false;2013-01-09;-7.577720207253891E-5;6.498112083822383;10.631218076479666;-8.066218983017349;100.05629970137078;null
e3e1;false;2013-01-10;-3.258584442887176E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.06349237217889;null
c7ae;false;2013-01-11;-2.7130977130977133E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.0704140584929;null
8e54;false;2013-01-12;1.6833095577746082E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.07750468473691;null
9e0f;false;2013-01-13;-3.076923076923077E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.08428786079446;null
ef43;false;2013-01-14;1.7636684303350413E-6;6.498112083822383;10.631218076479666;-8.066218983017349;100.09107326188507;null
56cc;false;2013-01-15;-8.626760563380287E-5;6.498112083822383;10.631218076479666;-8.066218983017349;100.09777277097825;null
c0bc;false;2013-01-16;7.707129094412335E-5;6.498112083822383;10.631218076479666;-8.066218983017349;100.10454988030669;null
3177;false;2013-01-17;-6.976744186046513E-5;6.498112083822383;10.631218076479666;-8.066218983017349;100.11125760336645;null
d376;false;2013-01-18;-3.173076923076923E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.11764809388497;null
1243;false;2013-01-19;-3.014084507042254E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.12373721001865;null
cb34;false;2013-01-20;1.3709677419354848E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.12996397125238;null
1b51;false;2013-01-21;3.37048294495103E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.13652862705686;null
4710;false;2013-01-22;2.2722241438948455E-4;6.498112083822383;10.631218076479666;-8.066218983017349;100.1433212608044;null
