Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
Brazil,Brazil,1961,BiocapPerCap,0.0388156983274801,0,0.497739058099725,0.481419479212128,20.1253968383078,1.76871615640736,22.9120872303545,3A,BR
Brazil,Brazil,1961,EFConsPerCap,0.0388156983274801,0.260190834244938,0.451860714347542,0.0257984185568268,0.622174412800348,1.00453636680877,2.4033764450859,3A,BR
Brazil,Brazil,1962,BiocapPerCap,0.0406342390701915,0,0.514422450620822,0.466367886000291,19.4972940400446,1.7568276796143,22.2755462953502,3A,BR
Brazil,Brazil,1962,EFConsPerCap,0.0406342390701915,0.27442189890678,0.480838316549374,0.036233393170052,0.621095450883903,0.993099180480859,2.44632247906116,3A,BR
Brazil,Brazil,1963,BiocapPerCap,0.0394024166607992,0,0.492384357419914,0.451333077562687,18.870440180604,1.74220192761641,21.5957619598638,3A,BR
Brazil,Brazil,1963,EFConsPerCap,0.0394024166607992,0.278853332606621,0.439768359483796,0.0316516749719665,0.590877473840289,0.990995875880582,2.37154913344405,3A,BR
Brazil,Brazil,1964,BiocapPerCap,0.0373159910260166,0,0.460359971651585,0.437531274531475,18.2745136080607,1.72965155903019,20.9393724043,3A,BR
Brazil,Brazil,1964,EFConsPerCap,0.0373159910260166,0.271025988444263,0.431849247507666,0.0315517987526613,0.574527329910949,0.977698697421109,2.32396905306267,3A,BR
Brazil,Brazil,1965,BiocapPerCap,0.0449921102768003,0,0.548184951285135,0.423838305483371,17.7226233731451,1.71497216372187,20.4546109039122,3A,BR
Brazil,Brazil,1965,EFConsPerCap,0.0449921102768003,0.257548167346254,0.504825652233639,0.02914529430879,0.565705750559296,0.954329202238081,2.35654617696286,3A,BR
Brazil,Brazil,1966,BiocapPerCap,0.0415329350967173,0,0.499975599785398,0.412177381813259,17.2099094683779,1.70615501825275,19.869750403326,3A,BR
Brazil,Brazil,1966,EFConsPerCap,0.0415329350967173,0.293082102696206,0.447515852801963,0.0287324491633205,0.567099069994685,0.96889219953211,2.346854609285,3A,BR
Brazil,Brazil,1967,BiocapPerCap,0.0443946654270379,0,0.528207003059399,0.39997498151345,16.701755926788,1.69287525294396,19.3672078297318,3A,BR
Brazil,Brazil,1967,EFConsPerCap,0.0443946654270379,0.293873610799376,0.487091455868635,0.0295611822716245,0.571070268207225,0.958595787804641,2.38458697037854,3A,BR
Brazil,Brazil,1968,BiocapPerCap,0.0446222024866327,0,0.524918736130821,0.38856748982792,16.1851788257648,1.68076224355028,18.8240494977605,3A,BR
Brazil,Brazil,1968,EFConsPerCap,0.0446222024866327,0.347597886550281,0.465823318833677,0.0339546464155159,0.570055473615173,0.942809411591148,2.40486293949243,3A,BR
Brazil,Brazil,1969,BiocapPerCap,0.0450800514407817,0,0.524485932919091,0.376025722211566,15.6945286896149,1.66151363768824,18.3016340338746,3A,BR
Brazil,Brazil,1969,EFConsPerCap,0.0450800514407817,0.369026556630849,0.450309601716536,0.0329353582253324,0.568818602223241,0.922011491527594,2.38818166176433,3A,BR
Brazil,Brazil,1970,BiocapPerCap,0.0462396309789013,0,0.532274444177232,0.367394381019239,15.2341196182115,1.65760513395761,17.8376332083445,3A,BR
Brazil,Brazil,1970,EFConsPerCap,0.0462396309789013,0.409650602661851,0.4480237634567,0.0344990993178888,0.572661051140744,0.926510147032673,2.43758429458876,3A,BR
Brazil,Brazil,1971,BiocapPerCap,0.0485449770821528,0,0.563195878370078,0.357706696839851,14.8237063068174,1.63800984636305,17.4311637054725,3A,BR
Brazil,Brazil,1971,EFConsPerCap,0.0485449770821528,0.43494671487444,0.483061125280221,0.0412875394111073,0.569415910756493,0.930734672569938,2.50799093997435,3A,BR
Brazil,Brazil,1972,BiocapPerCap,0.0471072629145729,0,0.550498048537522,0.350322125760071,14.4035620048548,1.62781010686839,16.9792995489353,3A,BR
Brazil,Brazil,1972,EFConsPerCap,0.0471072629145729,0.468689553755361,0.46048077710059,0.0370566604594993,0.552216216305732,0.94574135770896,2.51129182824472,3A,BR
